星载通信系统	星载v##h##f天线装置	propertyOf	星载v##h##f天线装置，本发明涉及星载通信系统所使用的星载v##h##f天线装置
微纳星群	电子系统	ofRestrict	空间操控微纳星群电子系统，本发明涉及一种微纳星群电子系统，特别是涉及一种微卫星与纳卫星群的电子系
微卫星	纳卫星群	similar	空间操控微纳星群电子系统，本发明涉及一种微纳星群电子系统，特别是涉及一种微卫星与纳卫星群的电子系
微卫星	电子系	similar	空间操控微纳星群电子系统，本发明涉及一种微纳星群电子系统，特别是涉及一种微卫星与纳卫星群的电子系
纳卫星群	电子系	similar	空间操控微纳星群电子系统，本发明涉及一种微纳星群电子系统，特别是涉及一种微卫星与纳卫星群的电子系
微小卫星	电总线	ofRestrict	适用于微小卫星的电总线，本发明涉及一种适用于微小卫星的电总线设计方法，这种电总线设计方法适用于
电子集成系统	集成系统	classOf	微小卫星先进电子集成系统，本发明涉及一种集成系统，特别是涉及一种微小卫星先进电子集成系统
集成系统	电子集成系统	subClassOf	微小卫星先进电子集成系统，本发明涉及一种集成系统，特别是涉及一种微小卫星先进电子集成系统
微小卫星	先进	propertyOf	微小卫星先进电子集成系统，本发明涉及一种集成系统，特别是涉及一种微小卫星先进电子集成系统
微小卫星	电子集成系统	ofRestrict	微小卫星先进电子集成系统，本发明涉及一种集成系统，特别是涉及一种微小卫星先进电子集成系统
先进	电子集成系统	ofProperty	微小卫星先进电子集成系统，本发明涉及一种集成系统，特别是涉及一种微小卫星先进电子集成系统
微小卫星	随机振动	propertyOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
微小卫星	下凹	propertyOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
随机振动	试验	functionOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
随机振动	下凹	relevant	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
随机振动	控制	functionOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
试验	下凹	functionOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
试验	控制	relevant	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
下凹	控制	functionOf	微小卫星随机振动试验下凹控制方法，本发明涉及卫星试验技术领域，特别是涉及一种微小卫星随机振动试验下凹控制
对接	重构设备	relevant	纳卫星电磁对接重构设备，本发明涉及纳卫星领域，特别涉及纳卫星电磁对接重构设备
微纳卫星	低压	propertyOf	一种微纳卫星低压高效电源系统，本发明涉及一种微纳卫星低压高效电源系统，可应用于微纳卫星电源系统
微纳卫星	高效电源系统	ofRestrict	一种微纳卫星低压高效电源系统，本发明涉及一种微纳卫星低压高效电源系统，可应用于微纳卫星电源系统
